Expansion,Ticket,New,Magic,Epcot,Animal,Hollywood,Water,Year,Unemployment,Advance,SLExpansion ,OAdditions,Rides,Large,Following
Grand Opening,20.95,1,0,0,0,0,0,1971,5.9,4,0,3,19,1,1
Pirates of the Car,25.26,0,1,0,0,0,0,1973,4.9,3,2,1,1,0,0
Space Mountain,26.46,0,1,0,0,0,0,1975,8.5,4,2,0,1,0,0
River Country,25.24,1,0,0,0,0,0,1976,7.7,3,1,0,12,1,0
Thunder Mountain,22.92,0,1,0,0,0,0,1980,7.1,3,4,0,1,0,0
EPCOT,37.51,1,0,0,0,0,0,1982,9.7,5,2,1,7,1,0
Journey into Imagination ,41.2,0,0,1,0,0,0,1983,9.6,3,1,0,1,0,0
Typhoon Lagoon,57.34,1,0,0,0,0,0,1989,5.3,3,6,2,11,1,0
MGM Studios,57.34,1,0,0,0,0,0,1989,5.3,4,6,2,2,1,1
Splash Mountain,59.36,0,1,0,0,0,0,1992,7.5,3,3,0,1,0,1
Tower of Terror,59.87,0,0,0,0,1,0,1994,6.1,3,2,0,1,0,1
Blizzard Beach,60.02,0,0,0,0,0,1,1995,5.6,3,1,0,12,1,0
Space Ranger Spin,63.27,0,1,0,0,0,0,1998,4.5,2,3,1,1,0,1
Animal Kingdom,63.27,1,0,0,0,0,0,1998,4.5,3,3,1,5,1,1
Asia,64.8,0,0,0,1,0,0,1999,4.2,3,1,3,1,1,0
Many Adv of WtP,64.8,0,1,0,0,0,0,1999,4.2,3,1,3,1,0,1
Rockin' Rollercoaster,64.8,0,0,0,0,1,0,1999,4.2,4,1,3,1,0,1
Magic Carpets,67.1,0,1,0,0,0,0,2001,4.7,2,2,0,1,0,1
PhilHarMagic,69.29,0,1,0,0,0,0,2003,6,4,2,2,1,0,1
Mission: SPACE,69.29,0,0,1,0,0,0,2003,6,3,2,2,1,0,0
Soarin',76.7,0,0,1,0,0,0,2005,5.1,4,2,0,1,0,0
Expedition Everest,80.43,0,0,0,1,0,0,2006,4.6,3,1,1,1,0,0
Laugh Floor,83.59,0,1,0,0,0,0,2007,4.6,3,1,1,1,0,1
Expansion Magic Kingdom,89.6,0,1,0,0,0,0,2009,9.3,3,2,0,1,1,1
Star Tours,92.18,0,0,0,0,1,0,2011,8.9,4,2,0,1,0,1
Pandora - Avatar Land,103.22,0,0,0,1,0,0,2014,6.2,5,3,1,2,1,1
Seven Dwarfs Mine Ride,103.22,0,1,0,0,0,0,2014,6.2,2,3,1,1,0,1
Frozen Ever After,110,0,0,1,0,0,0,2016,4.9,2,2,0,1,0,1
Toy Story Land,114,0,0,0,0,1,0,2018,3.9,3,2,0,2,1,1
