Ticket,New,Magic,Epcot,Animal,Hollywood,Water,Year,Unemployment,Advance,OAdditions,Rides,Following
20.95,1,0,0,0,0,0,1971,5.9,4,3,19,1
25.26,0,1,0,0,0,0,1973,4.9,3,1,1,0
26.46,0,1,0,0,0,0,1975,8.5,4,0,1,0
25.24,1,0,0,0,0,0,1976,7.7,3,0,12,0
22.92,0,1,0,0,0,0,1980,7.1,3,0,1,0
37.51,1,0,0,0,0,0,1982,9.7,5,1,7,0
41.2,0,0,1,0,0,0,1983,9.6,3,0,1,0
57.34,1,0,0,0,0,0,1989,5.3,3,2,11,0
57.34,1,0,0,0,0,0,1989,5.3,4,2,2,1
59.36,0,1,0,0,0,0,1992,7.5,3,0,1,1
59.87,0,0,0,0,1,0,1994,6.1,3,0,1,1
60.02,0,0,0,0,0,1,1995,5.6,3,0,12,0
63.27,0,1,0,0,0,0,1998,4.5,2,1,1,1
63.27,1,0,0,0,0,0,1998,4.5,3,1,5,1
64.8,0,0,0,1,0,0,1999,4.2,3,3,1,0
64.8,0,1,0,0,0,0,1999,4.2,3,3,1,1
64.8,0,0,0,0,1,0,1999,4.2,4,3,1,1
67.1,0,1,0,0,0,0,2001,4.7,2,0,1,1
69.29,0,1,0,0,0,0,2003,6,4,2,1,1
69.29,0,0,1,0,0,0,2003,6,3,2,1,0
76.7,0,0,1,0,0,0,2005,5.1,4,0,1,0
80.43,0,0,0,1,0,0,2006,4.6,3,1,1,0
83.59,0,1,0,0,0,0,2007,4.6,3,1,1,1
89.6,0,1,0,0,0,0,2009,9.3,3,0,1,1
92.18,0,0,0,0,1,0,2011,8.9,4,0,1,1
103.22,0,0,0,1,0,0,2014,6.2,5,1,2,1
103.22,0,1,0,0,0,0,2014,6.2,2,1,1,1
110,0,0,1,0,0,0,2016,4.9,2,0,1,1
114,0,0,0,0,1,0,2018,3.9,3,0,2,1
